0.087657,0.767174,0.658123,-1.029530,0.703297,-0.186735
0.122953,1.012780,0.238687,-1.122080,1.170870,-0.424947
0.123511,1.084440,-0.405598,0.370629,-0.240567,0.067478
0.158489,1.233460,-0.875754,0.857812,-0.484919,0.110895
0.198587,1.305070,-1.259980,1.497270,-1.040470,0.299516
0.236950,1.299270,-1.280340,1.377600,-0.850540,0.217060
0.268920,1.343190,-1.584270,1.912710,-1.313500,0.372950
0.299804,1.367180,-1.808840,2.292940,-1.605950,0.454874
0.335510,1.307910,-1.793820,2.446460,-1.890820,0.594769
0.364007,1.273160,-1.738240,2.285350,-1.702030,0.517758
0.389704,1.244800,-1.697080,2.140610,-1.518030,0.440004
